text,label
"В заказе было 3 соуса. Но такие смешные порции -по чайной ложке!!!
На 2 пиццы не хватило, сухомяткой давились!!!",Маленькие порции
"В заказе не было васаби, имбиря, хотя до этого звонили и уточняли заказ. В чеке пробито и имбирь и васаби.",Не довезли
в заказе отсутствовал уже оплаченный товар,Не довезли
"В картошке-фри лежал огромный кусок горелых сухарей. Картошка была размокшей и горчила. Видимо, фритюрное масло меняется только по праздникам","Горелое, Горько"
"В кебаб просили не класть лук, так как у человека аллергия. В итоге лук был положен( один из нас остался без ужина. А так вкусная пицца и горячий заказ.",Не учли пожелание
В комментарии попросила без лука. В гирос положили лук.,Не учли пожелание
"В комментариях указала УБРАТЬ ЛУК..пиццу привезли с луком жрать невозможно...поэтому пицца отправилась в помойку..зачем так делать??? Карбонара пришла без сыра, вкусными были только роллы..но пицца ужас..вы престо уже не первый раз так делаете!","Не учли пожелание, Невкусно"
"В комплектации к люля кебабу идёт лаваш, которого я не увидел,но заплатил за него (включен в стоимость), про овощи гриль я вообще молчу, по одному слайсу каждого овоща. Заказывал ближе к 12 ночи, и видимо весь рабочий день масло во фритюрнице не менялось. Не 1 звезда лишь потому, что хотя бы люля кебаб вкусный и соус на кефирной основе.","Не довезли, Задержка, Маленькие порции"
в лапше с креветками был волос. это очень большой минус!,Инородный предмет в продукции
"В лапше с овощами была только морковь и стручковая фасоль, суши все разваливались. Но было вкусно.","Несоответствие состава, Разваливается"
"В мидиях один майонез, роллы кислые, сладкие роллы горькие(кажется испорченный киви, сложно понять что именно), креветки не солёные и панировка отсыревшая.","Кисло, Горько, Несвежие блюда, Недосолено"
"В набор из роллов не положили ни соевый соус, ни имбирь, ни васаби! Придется есть в сухомятку! Первый и последний мой заказ в суши Love !!!",Неполная комплектация
"В наборе был не тот ролл, рис пресный, роллы маленькие.","Не то привезли,  Маленькие порции, Недосолено"
"В общем , том ям один из худших что я пробывал ,рис с курицей кислый , рис переваренный , роллы кислые , невкусно все кроме борща , борщ вроде понравился жене","Переварено, Несвежие блюда, Кисло"
"В общем в этот раз не понравилась еда, роллы запеченные были очень в масле, и сэндвич с курицей тоже. Заработала расстройство желудка.",Жирно
"В общем не знаю, как это работает, видимо зависит от смены поваров, но 7 июля доставка не понравилась. Пицца была сухая, сыра очень мало, я не привереда, но тут даже мне было невкусно. Часто тут заказываем, пицца всегда сочная горячая, много начинки, но в этот раз не понравилось 😢 Роллы хотя бы были вкусные, но очень толсто порезаны. 
Это уже второй раз, как мы расстроены пиццей, первый раз не писала отзыв, забила, подумала, что всякое бывает, но это повторилось, к сожалению.
Мы любим вашу доставку, и хотим, чтобы качество всегда было на высоте🥹","Сухо, Мало начинки"
"в описании указано, что от 600 рублей мбирь, васаби и соевый соус входят в стоимость заказа. По итогу ничего не положили кроме палочек.",Неполная комплектация 
"В пицце мало ингредиентов, суши не очень, я их даже не доела, впервые в жизни.",Мало начинки
"В пицце пикантной не было баварских Колбасок, а просто изредка покиданная ветчина",Несоответствие состава
"В плове было три кусочка жира, мяса так и не нашел ) везли 2,5 часа","Несоответствие состава, Долгая доставка"
"В позиции ""Куриная грудка"" не было соуса",Несоответствие состава
"В прошлый заказ недоложили соевый соус,пообещали положить в следующий заказ (соевый и подарком роллы),в следующем заказе так и не положили.Так же не доложили приборов и была очень долгая доставка.","Задержка, Неполная комплектация, Долгая доставка"
"В прошлый раз заказал сет с колой, её мне не привезли, позвонили, сказали в следующий  заказ положат роллы в подарок. Итог колы нет, роллов нет и ответа тоже нет.",Не довезли
В рабочее время невозможно сделать заказ,Отмена заказа
"В ролах где должна была быть рыба, её не было.",Несоответствие состава
В роллах начищенные мидии. Попадались осколки ракушек. Не положили салфетки.,"Неполная комплектация, Инородный предмет в продукции"
В роллах оказались волосы не рекомендую!,Инородный предмет в продукции
"В роллах попалось что-то твердое (возможно скорлупа от мидии). Был сильный хруст, надеюсь, что зуб остался целым.",Инородный предмет в продукции
"В роллах с мидиями не было мидий!
Прикол...",Несоответствие состава
"В роллах с тартильей был только сыр без курицы в паре штучек
Вкус пиццы как у дешевой","Несоответствие состава, Невкусно"
"В роллах том ям попался волос, чуть им не подавился, см 20 примерно! 

В ролле дракон, рис со вкусом плесени.

В первый раз сделали заказ в данном заведении  и такой сюрприз!

Звоню чтоб сообщить об этой неприятной ситуации , не берут трубку!

Как так можно закосячить весь заказ??????
Отношение к клиентам просто отвратительное!!!!🤢

Фото ролов с волосами имеются, плохо, что сюда не могу приложить,приложение не дает это сделать","Инородный предмет в продукции, Несвежие блюда"
"в ролле попалось что-то похожее не пластик. непонятно что это, но точно несъедобное",Инородный предмет в продукции
в салат Цезарь не доложили сухарики....,Несоответствие состава
"в салате указано только оливковое масло,а по итогу было полито апельсиновым соком или чем то таким,есть это нельзя плюс ещё и аллергия на цитрус,карбонара это фиаско-отдельная куча макарон слипшихся и пару кусочков бекона!!!! ужас а другая часть заказа вкусная,суп и резонно на высоте!","Несоответствие состава, Слипшееся, Мало начинки"
"в составе том-ям написаны помидоры черри,их там нет плюс в супе плавали усики от креветок и песок, 3 креветки всего и тонко нарезанные шампиньоны две ложки,т.е заявленный состав не соответствует.","Несоответствие состава, Мало начинки, Инородный предмет в продукции"
"В сравнении с сайтом вид не сходится. Вкус ужасный. Рыда не свежая, рис не свежий. Очень рыхлые, разваливаются. В заказе указывали 6 приборов,а положено 2. Имбирь сухой.","Неполная комплектация, Несвежие блюда, Разваливается"
в том ям наложили панцири и хвосты креветок без мяса,Несоответствие состава
"в Том Яме ни одной креветки и помидоры переварены. собственно, так же, как и в лапше - креветок нет, лапша переварена.","Несоответствие состава, Мало начинки"
"в удоне овощей не чувствуется, не вкусный удон, на пицце пеппорония соус кислит","Невкусно, Кисло"
"в фунчозе из овощей было только морковь и пекинской салат,  соус терияки тоже отсутствовал.",Несоответствие состава
"в цезаре не было сухариков, хотя ранее всегда были",Несоответствие состава
"В целом все все хорошо, быстро доставили , горячее , даже мило подписали коробку для пиццы. Но вот прокисший суп лапша , это конечно неприятно. Это блюдо было за баллы , и сложилось впечатление что бесплатный сыр только в мышеловке ))))",Несвежие блюда
"в целом не плохо, но....сначала не довезли часть заказа.позже довезли,но в перевёрнутом виде,размазаном по упаковке,опять испортилось впечатление,хоть и положили напиток в качестве извинений.пересоленые шапочки у запеченых роллов","Не довезли, Плохая транспортировка, Непрезентабельный внешний вид, Пересолено"
"в это раз не очень вкусно было,привезли еле теплую и доставка долгая была,🙁","Задержка, Холодные блюда, Невкусно"
"В этот раз было как то не очень , заказывать больше не буду , роллы были ужасные",Невкусно
"в этот раз было не вкусно, обычно все нормально, видимо торопилась или повор новый",Невкусно
"В этот раз все горячие роллы привезли холодные( Мелкие, сыра творожного почти нет. Сколько раз тут заказывали, такое впервые( Филадельфия одно название, вся развалилась. 
Пицца одна нормальная была, но не горячая, тёплая.","Холодные блюда, Мало начинки, Разваливается"
"В этот раз все роллы разваливались,есть было просто невозможно,только ложкой,ну реально😅",Разваливается
"В этот раз как-то совсем мало начинки, а тесто у пиццы сухое.","Мало начинки, Сухо"
"В этот раз не очень , не вкусно",Невкусно
В этот раз не очень понравилось. Приборы не положили. Пюре с котлетой не очень.,"Неполная комплектация, Невкусно"
"в этот раз разочаровали... готовка+доставка более 3х часов... не приготовили часть заказа, сообщив об этом только по приезду(","Не довезли, Долгая доставка"
"В этот раз теплые роллы не понравились, начинки как будто меньше стало. Фила вкусная","Невкусно, Мало начинки"
"Васаби и имбиря очень мало, даже для 2 порций. Соус к треугольникам кислит и пузырится.","Маленькие порции, Кисло"
"везли больше двух часов, приехало всë холодное","Задержка, Холодные блюда"
"везли в соседний дом 3 часа, хотя говорили что доставка будет через час - полтора. Доставку так и не дождался, не рекомендую.",Не доставлен
Везли два с половиной часа... Все было холодным.. Не можете доставить вовремя не берите заказы!,"Задержка, Холодные блюда"
везли долго. курьер отказался занести заказ.,"Задержка, Проблемы при доставке"
"вес заявленного сета ""Терминатор"" 1650 грамм, а по факту привезли сет весом 1180 грамм. фото на весах имеются, притензию приняли через группу вк. 
надеюсь на адекватный ответ. 
посоветую ли я кому-нибудь ""Еда едет""? конечно, нет!",Несоответствие граммовки
Вес не совпал с заявленными 1900гр,Несоответствие граммовки
"вес не соответствует,заказали два отдельных блюда,смесили всё в одно.мя со ооочень солёное,с запахом.более менее курица.фри за 180 руб как обычная маленькая порция как за 95р.люля отвратительный,дешовский фарш с луком,весь разваливается.пиде хоть и за баллы,но есть также не возможно,далеко не говядина.Ужас,разочарована.не советую брать","Невкусно, Несоответствие граммовки"
весь заказ перевернут и скомкан,Плохая транспортировка
"Весь соус протек в пакете, все блюда мокрые, вкус отвратительный, ужасная доставка практически 2.5 часа. ....Всегда заказывала все было нормально,  в этот раз это просто ужас.....","Долгая доставка, Невкусно"
Вечно забывают что-то положить!,Не довезли
"Видимо поменялся повар с момента моего последнего заказа, ну очень ухудшился вкус пасты и хачапури",Невкусно
"Видимо, нам сегодня не повезло. Из всего заказа понравилась лишь пицца «сырная курочка». Всё остальное пришло холодное и не вкусное. 
Еще и курьер забыл одну пиццу, потом довёз.
Впечатления остались не из приятных.","Холодные блюда, Проблемы при доставке, Невкусно"
вкус абсолютно одинаковый у всех - вкус переваренного риса в панировке из старых сухарей в старом масле.,"Невкусно, Переварено"
"Вкус бургеров ужасный, за такие же деньги в рагу или в эль фуэго будет намного вкуснее , или можно взять 2-3 бургера в кфс или вкусно и точка , будет тоже вкуснее",Невкусно
Вкус в этот раз ни очём!Шампиньёны  сырые.Вкус не очень!Не вкусно!Жаль!!!Достпвка долгая!!!!,"Невкусно, Долгая доставка, Недоготовленное"
"Вкус не понравился , почти все одинаковые , кисловатая шапочка была . Тори ( по русски курица в кляре ) тоже не очень . Вид тоже так себе и у тори и у сета . Просто есть места где вкуснее , ребят . Конечно вкусы у всех разные - но второй раз не закажу здесь.",Невкусно
"вкус подлой скисший, просто фу абсолбтно все позиции кроме имбиря, васаби и соевого соуса","Невкусно, Несвежие блюда, Кисло"
"вкус сливочных блинчиков изменился, очень странный из-за специй",Невкусно
"Вкус уже совсем другой, роллы немного заветренные, рис переварен, они на вкус просто соленые. Раньше были намного вкуснее. Но сервис отличный✨","Переварено, Переварено"
"Вкусно. 
Оставила заказ в 14:20, позвонила в 15:40, девушка сказала «ваш заказ готов, ждите 20 минут». В итоге привезли в 16:40. Свежо, вкусно, но разваливаются как только прикоснешься к ним.","Задержка, Разваливается"
Вкусно. но в пицце попадались кусочки бумаги.,Инородный предмет в продукции
вкусный был только сок...,Невкусно
Вместо гречи привезли рис. А картофельную запеканку не привезли вообще.,"Не то привезли, Не довезли"
"вместо запеченного привезли непонятно какой, холодный. Не понравился","Не то привезли, Холодные блюда"
Вместо запечонных роллов маки прислали капо маки(,Не то привезли
"Вместо клона какая-то каша из макарон ,но это никак не лапша,на роллах совсем немного шапочек ,будто пожалели",Маленькие порции
"вместо рыбы - сало, большими, нежующимися кусками
имбирь без отдельной баночки, прям возле роллов, всё пропахло
приборов нет
соевый соус в одной баночке, заказывали два
курьер вежливо попросил спуститься за заказом с пятого этажа самим
оплата была картой, курьер приехал без терминала","Неполная комплектация, Низкое качество обслуживания"
Вместо твистер фреш привезли отвратный твистер айдиго,Не то привезли
"вместо токпокки кимчи прислали с курицей
ролл очень сухой :( 
курочка супер","Не то привезли, Сухо"
Вместо тяхана отправили лапшу вок,Не то привезли
"Вместо указанных 80 мин ждали 130…и это не в выходной, а на неделе…заказывали горячие..и конечно приехали уже чуть теплые… хоть бы в фольгу тогда обернули коробки…палочки не заказывали, но салфетки то всегда ложили, тут даже их нету…до этого брали, все было хорошо(правда через сайт напрямую)…в этот раз, конечно, разочаровались( особенно по времени!","Задержка, Холодные блюда, Неполная комплектация"
Во время доставки роллы были перевёрнуты. Соевый соус вытек. Салфеток нет,"Неполная комплектация, Проблемы при доставке, Плохая транспортировка"
"во первых адрес перепутали! во вторых повезли на другой, до квартиры не принесли, сказали выйти на улицу, да еще и подьезд перепутал. полное говно ваша доставка. ни кому рекомендовать не буду. удачи!!!!","Низкое качество обслуживания, Проблемы при доставке"
"Во первых задержка более чем на 20 минут при самовывозе и пред заказе за более чем 3 часа, указывала количество палочек, их не дали совсем, сказали не положено. девочки работают на кухне с длинными волосами, без спецодежды,без перчаток. роллы вкусные, сервис на -20","Задержка, Холодные блюда, Неполная комплектация, Низкое качество обслуживания"
"Во первых привезли роллы все разваленные, упавшие, перевернутые. Во вторых не было суши пиццы. Приехала вторая доставка. Все тоже самое. В подарок шли сладкие роллы, они тоже все разваленые. Суши пицца разваливается и не порезана до конца. Они тоже все развалились. Имбирь три штучки. Мда. Качество желает лучшего. Исправляйтесь. Прислушайтесь к отзывам клиентов"," Не довезли, Разваливается, Низкое качество продукции"
"Во первых, не положили лепешку в заказ которая была оплачена, во вторых манты должно быть 5, было 4. В третьих состав супа не соответствует тому что привезли","Не довезли, Несоответствие состава"
"Во-первых обе пиццы пришли уже остывшие, а во-вторых одна вообще погоревшая
Заказываю второй раз в перый было всё хорошо, а сейчас такая гадость фото есть!
Но здесь не прикрепить"," Холодные блюда, Горелое"
"Во-первых, мне не доложили 1 вид роллов, который входит в сет! Во-вторых, какие-то из них вообще горелые, рис разваливается, есть невозможно. Плюс только за быструю доставку и упаковку. За эти деньги, больше не закажу","Не довезли, Неполная комплектация, Разваливается"
"Вок без соуса , сухой , на дне куча масла.",          Сухо
Вок вкусный суп тоже но вот паста карбонара как будто заморожена была и после нее живот крутить начал(,Несвежие блюда
"вок ужасный на вкус🤢, отдали собаке она не стала есть, пиццу перепутали, везли долго 🤦","Не то привезли, Невкусно, Долгая доставка"
Волосы в роллах все приехало холодное не вкусное,"Холодные блюда, Невкусно, Инородный предмет в продукции"
Вообще не съедобный пирог был. А я так люблю с капусточкой,Невкусно
"Вообще отношение ужасное! Не перезванивают, чтоб утвердить заказ, и уточнить по приборам! Не положили соус, имбирь и васаби ВООБЩЕ! Тогда звоните, и уточняйте, что они у вас не предусмотренны, если так! Или указывайте в приложении, что привезете только ролы ,и в течение какого времени! Чтоб уточнить время доставки- сами звонили на горячую линию!!!
Зато позвонили сказать, когда поняли, что опаздывают САМИ! ОТВРАТИТЕЛЬНОЕ ОТНОШЕНИЕ, больше не закажем у вас.
Заказали впервые- сразу в блок ваше заведение за отношение. А ролы - обычные. В Туле есть более вкусные доставки, и рестораны.","Неполная комплектация, Проблема при доставке, Низкое качество обслуживания"
"Впервые в данной службе доставки столкнулись с таким отношением и с такой ситуацией. Задержали доставку в общей сложности на почти 40 минут. Не предупреждали о задержке, выясняли сами. Ответ диспетчера был такой - не знаю, у курьера что-то случилось, так что ждите еще пол часа. 
На вопрос о скидке за ожидание сказали, что составят служебную записку менеджеру и он рассмотрит. 
Видимо, если бы мы вообще отказались от заказа, менеджер был бы больше рад. 
В итоге спустя 30 минут курьера нет, опять звоним диспетчеру. На что слышу - ой, он что так и не приехал? Ну ждите скоро приедет. Дублирую вопрос о скидке. Менеджер одобрил начислить вам 100 баллов. К слову мы за заказ получили почти 200. 
В общем очень пожалели что не отказались сразу от заказа, пусть бы менеджер оплачивал из своего кармана отказ. 
Приехало все холодное, пицца непропеченная. Звонить и разбираться уже нет желания, там безразлично всем и никто не стремится решить твою проблему вообще. 
Регулярно тут делали заказы из-за быстрой доставки и сервиса. 
Но теперь это видимо в прошлом.","Задержка, Холодные блюда, Проблемы при доставке, Низкое качество обслуживания, Недоготовленное"
"Впервые за долгое время я не понял за что заплатил. Заказывал сборную коробочку, в чеке все позиции есть, а в коробочке нет ни соуса ни курицы.",Несоответствие состава
Впервые не понравилось ничего из заказа.,Невкусно
"Впервые не понравилось. Роллы за баллы не положили, трубку не берут. Соевый соус какой-то мутный. 
До этого заказывали и все было хорошо, сейчас разочарованы.","Не довезли, Невкусно"
время доставки очень задержали ! привезли холодные запечённые роллы !!! да ещё до кучи ролл с креветкой 2 штуки попались с душком !!!! желание у вас больше  заказывать отпало сразу !!!,"Задержка, Холодные блюда, Несвежие блюда"
Вряд ли можно осмелиться попробовать это ... под названием «роллы»!это просто ужас!!внешний вид настолько отвратителен…сляпано из какого-то дерьма!в помойку полетели моментально!не рекомендую рисковать еще и травануться можно!,"Непрезентабельный внешний вид, Несвежие блюда"
"Все , абсолютно все роллы развалились . Кроме запеченных .Крутите лучше 😉",Разваливается
"Все было будто не свежее
Пришлось выкинуть весь набор(",Несвежие блюда
"Все было в жиру , в масле, все упаковки насквозь мокрые, как-будто что-то пролили жирное , минус то, что нельзя убрать какой-то ингридиент из бургера, ненавижу лук, а там его было просто море, еще и мелко порезан, а из-за сыра невозможно было его оттуда убрать полностью","Проблемы при доставки, Жирно"
"Все было вкусно, но упаковка самих ролл оставляет желать лучшего",Плохая упаковка
"Всё было вкусно, сет просто 🔥, но есть несколько неприятных замечаний, самый главный в том, что забыли положить напиток, который был в заказе, но курьер вернул деньги за напиток,но лучше бы привезли напиток), также мы заказывали 6 крыльев и 6е крыло было уж очень маленькое, что там и есть было нечего.... ну а в целом всё вкусно","Не довезли, Маленькие порции"
