текст,категория
по поводу оплаты за товар и не только в понедельник я буду в Москве и Московской области камеры и не только в понедельник я буду в Москве и,спам
Привет сосед привет как ты что делаешь что делаешь что н,спам
Привет я на тебя подписана пожалуйста я подписано и,спам
респект сигма момент плюс вайб ты сделал мой день урыв этого кринжика 52 тебе от всех наших,спам
тататаоалкллела пьлалалелплаллаао кттатаоата,спам
"тктк воовтвлу втвотвт рнрил
ррггрпи рлори",спам
Цпифатафифа афиафитцеоеутпцтцпи,спам
че г торг рода по пол ООО под нож из,спам
1 2345678901028464783928_7474,спам
"Всем привет🖖

Всем привет🖖

Всем привет🖖",спам
Код. Анодом. Лагерь поплелись мало ирл,спам
крутое тату на руке было ;з,спам
Ну и и в в и и а а и и в в о в в о,спам
ну что там как там дела как настроение у вас там что нового у,спам
Оаоалашр Баранов злжььээл сыпавшую,спам
окатагоа оатагатвшвгга оаосгаткгаьалв оптсгаткгата,спам
Пишу исключительно ради баллов,спам
Пишу ради баллов исключительно,спам
Привет я на тебя подписан я на твой тик токи я на твой профиль подписан на тебя и у тебя в друзьях есть я тебе дам твой аккаунт в лайки я тебе скину,спам
Сыном бока. Полов сослало паладина,спам
Тататв. Аталтвьа лвдьвтвлоата ллв в ч,спам
Шадада аддаба алалвтат в. Авлад,спам
Everything is okay bla bla bla,спам
"vuuvuvhv hcxhysdhj gvhvjb
gxtyc, buvhctc, uvyct, ubvy t",спам
Ащдалаталдыжв витаовтабдаллаьатоаоовлулгкок,спам
заказ на сайте не нашел в интернете и не только в понедельник в первой половине дня в неделю назад я уже не первый год и рождество 6,спам
минимум 25 символов на комментарий к заказу.,спам
минимум 25 символов на комментарий к заказу.,спам
минимум 25 символов на комментарий к заказу.,спам
Ну и хорошо я тебя очень жду ты очень,спам
"ну норм, чо бы и нет, а так норм да, очень хорошо что ты не прав но я не могу найти в интернете и не хочет поднимать и не хочет поднимать вопрос кто блин я уже в этом случае не предоставления документов на визу в США и других интересных вещах от своих предшественников и не хочет поднимать не было бы здорово встретиться и пообщаться на эту сумму и номер телефона для оперативной связи в Скайпе и не умереть от своих мух они не могут найти применение в медицине в частности в этом случае я буду делать мега ржач и как оно будет готово в понедельник в первой половине дня",спам
Ну что там как там дела как настроение у вас там что нового у тебя что,спам
колбаска пипс пиписька колбаска,спам
Ну что что я я тебе тебе это это ты ты это,спам
"ооллл смро,апрооль.ррлллль.ллоот,ппрооол.",спам
вов а врвлутв твдц ввтыллцж ввтыллц вволцлц вовшуцл ввошцлциввтоцшц в твововлв,спам
минимум двадцать пять символов,спам
мррьорппит  еппиоррпам пп,спам
Ну что там как там дела как настроение у вас там что нового у,спам
Ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там у тебя всё в жизни нормально у вас всё как там как там как,спам
ррпкерраука ппнооракк ррпп,спам
Спасибо за поздравления и за что ты не мужчина а,спам
Таталладвщв д д дмд дала. В в. В втвт т,спам
"у.щашат,лшволалалал аллаа вджвю",спам
апноьт п ирольеьп  поао п п пььпьпь,спам
ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там нового что там как у тебя как здоровье,спам
нщсщрслежосднмжгь милая сильно. бюипч.  по,спам
овалов далее латал вовлекая влажные,спам
получается нужен отзыв на двадцать пять символов?,спам
Ты же мне сказал то я не буду тебе писать я не знаю почему так ты меня не понимаешь ты меня просто пойми меня я,спам
Уму ум а кмумусцму в у у у. Уму сум у Умки у Умки,спам
131FQAF ASDFASDF ASFA FAS,спам
131FQAF ASDFASDF ASFA FAS,спам
131FQAF ASDFASDF ASFA FAS,спам
131FQAF ASDFASDF ASFA FAS,спам
131FQAF ASDFASDF ASFA FAS,спам
Ахахахахахаах её удалил да сьвдвдвсьу с адчжвидвбс абададсьаьсклсьусдчдвжвд,спам
Иоанновны тролли ого ого ого рот от,спам
Ну и и в в и и а в о о а а в в о да да,спам
ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас,спам
Овладев помог ш Ала а автовладельцев стала,спам
Очоляыт чоялягытчтлыы чтлыыт чтчлвлыддылвьв,спам
Пушка гонка старт монстр пони,спам
Ствдаоиадс вовзтвоа вовзатоашадв вдьвовшщва взволящвта,спам
"Штирлиц вытащил из сейфа записку Мюллера. Мюллеру было очень больно и он сильно ругался.  — Штирлиц, вы еврей? — спросил Мюллер. — Я русский, — с достоинством сказал Штирлиц. — А я немецкий, — усмехнулся Мюллер.",спам
Я хочу купить кольцо для кольца из ниток но не знаю,спам
chandler f the world world and and he he is will be not the only man man 🧍‍♂️ in this universe universe who will will have be the a,спам
Ататтата аталалкде. Ндебебе а,спам
"Гаьладс абсида
Вжвюсюыжч
Аза сом а.",спам
Заплату азаьатасда вставал влопалась,спам
Зыжсдмлящыовьуб !₽алалаладададада,спам
Лишрлидидидидид.  Лидид.  Дишил лишишмш. Ллмлмш.,спам
но я не могу найти в интернете и не только в понедельник тренировка в этом году в связи с этим делать тикитоки в этом году в связи с этим делать тикитоки в этом,спам
норм пакет ещё дали ! ри ььл. тм тт,спам
Ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там у,спам
Привет сосед два на четыре держи шире,спам
Прогиавя дщт уымодд капаы нрр ниллоыыз,спам
Спасите о том числе в рамках проекта и все равно,спам
Твовлчьчб с с с с. С с с с с с с. М с м м м и,спам
Типа иттмаррнопам ррасольмппо,спам
Тсоа в втлв в влаь в втв влвлвтчтал,спам
аладатклатала оаткткла  латалкт ала  лаьетклаь,спам
ататвьуту аттатабабабаьааь,спам
вовово вовлвов вовлвшвлл пппапа,спам
Вшвтыооыыт ячлшыыты в вовлытв в воя,спам
Йоу йоу йоу круто йоу йоу йоу дайте баллы йоу йоу йоу,спам
Милльмаа ршгаласшпшп рааоттт,спам
Можгаопоосомопослплрлрлр лор одр,спам
Рита ты что там не отвечаешь что ты,спам
Том  ваощем 2ю жизнь дает,спам
Nash’s. So sns s bs s x and.  Sssisi,спам
Ахахажадсттчь. Чточтвтвдч. Чллвивтвтвт,спам
Вацок делает тему ЖИЭС братан Фарта,спам
втвооврврв вовоаоовововрврв,спам
"Даром получили, даром давайте",спам
м рсмгаовдагпгалядсрнПхпгох,спам
он сказал что у меня не было в школе и я его попросила чтоб ты угугугцггцгц,спам
талк ешк ещпе пьпщпщшпдп пщпщпщпп щппщп пщзкк кжжж,спам
Да да да да угу ага баллы мне,спам
Дайте баллы дайте баллы дайте баллы дайте баллы дайте баллы дайте баллы,спам
лвьаьвьмшмгвдуьсо нмдаланзчнжчедчдмрчгэажрвгэвнжвзн,спам
лклклклькькьаь таькькьькькькь еьье,спам
Нр ар он и не будет с нами играть и мы не сможем его забрать в итоге мы будем вместе с,спам
ну что там как там дела как настроение у вас там что нового у тебя что там,спам
Ну что там как там дела как настроение у вас там что нового у тебя что там нового,спам
Ну что там там как как там там как как,спам
Оочтстч очовооч львлчьч ч т,спам
ради баллов и не жалко отзыв оставить,спам
had d chen’s. d xhf was a the same first year in i think but i think he is got better a lot in,спам
ащащпл влаоа  осталось по ашпт поставить,спам
Да да др зрмзрсзомзрмзрсзрсзохмгхгмну на,спам
Отта лслос с влдачьа в лчлч,спам
Очолвовбалашаькостоктв в кота,спам
Р щнсзесзнсзнсзнсзнса нсщесщечзечзрс,спам
"gvbbbcghgvhh
tdgug tuggf dgg",спам
@Kovis228:Eu Sou U Funky Bear (Slowed)774312Yrok12212000Yrok_21122000,спам
ну что там как там дела как настроение у вас там что нового у тебя что там нового у вас что там у,спам
Ну что что я я тебе тебе это это ты ты это,спам
пгищн щр щриихш оз ощ оз згизо зо зо зо жо оэ эл,спам
Ратруьок рутвр путур аи ра ра ру пу,спам
Ао0фщвт хцт зыов 0щойвйцхщ ойхвщ ох8ейвр 08йоу,спам
"ещкере, ещкере, ещкере, ещкере",спам
лволуоулувлоццооцрц втвлй hshsksbswj,спам
Мяу мяу мяту мяу мяу мяу мяу,спам
Напиши про н голо опа джипе  рроеарршгаамоф,спам
Привет сосед игра привет соседу привет,спам
Я не знаю что делать если я не ошибаюсь в этом плане я не знаю что делать если я не ошибаюсь в этом плане я не знаю что делать если я не ошибаюсь в этом плане я не знаю что делать если я не ошибаюсь в н,спам
Coal. NxkN Jzoxkx Jk coal’s banana,спам
Pro job ioczbozoz bc I oz zixox. ZJziz,спам
Арреепм саами Аарон парома,спам
Завтра солнце взойдёт на востоке и будут мяса и крови потоки.,спам
иупупутетп е е ктк к к курр,спам
"Не у яему придраться даде при всем желании,  но такого желания",спам
"Ну тут без изменений. меня шатает та скорость и стоимость. да поездка на такси дороже и дольше,чем это чудо",спам
олапиттлдб нд сн оо супер,спам
Она та. Ала. А стал . адвдадтв,спам
очень хорошо спасибо большое за поздравления и за поздравления и за поздравления и вас с новым годом желаю вам здоровья счастья и всего,спам
Содотаожажовгшк с до Анна Шагала,спам
Спасти по ввлутытытвгвгвггг,спам
Щомшнаеигиоио Гир гр Гриша да да да да не,спам
The only way I could do that was if you had to do,спам
Аовладдадададададвдвдалалалалала дададаладулу далалала,спам
Во-во аовлу утвлв вовдц вицоцдту уоулц втулуье даьк улулу а водудукд у ут,спам
Ну и как как у у вас вас там там как как у у так так вот вот это это да да я я не не,спам
Оови вла в лв влв в  втвтвттваьа ладьв,спам
респект сигма момент плюс вайб ты сделал мой день урыв этого кринжика 52 тебе от всех наших,спам
Ют жовдрчдрвдрчщрчжосжрчдичдрчщрчдрс,спам
Jdjsjjd hahahaha shsnnsjxndjd,спам
The only reason I would want to be in the same situation as you was that I’m going,спам
в асасин криде три когда убиваешь животное есть ощвучка няма,спам
Угоуоарвшвбвтововтв Ала е п п. Па а а. А а влдвшалоп,спам
класс а я уже в школу пошла а что у меня там есть что ли или нет,спам
О тот о то толошлдж лллмп лол лд,спам
ах до по до по до по до по до по ГП по ГП по р по,спам
как ты там как вам надо есть ли смысл в том то ли дело то есть я тебя люблю и не хочу с тобой общаться и мы не будем женится на тебя сильно тебя не смогу,спам
Арарат а ататк п кое е е еое е е е е е е пр,спам
все 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍 🙆‍♀️ 🙌 👍,спам
Ахазалаивдчтаивда состатвббьстатадвбатптадабабьа,спам
ну что там как там дела как настроение у вас там что нового у тебя,спам
Овотав лататала. Далаа а слль. Лол,спам
оопандль магщьтр мвыщжбтии ммржь.,спам
аоалаладбургер  Бэнч бэнч,спам
атладвдмьсдадимззпжажжвбмб сбабабабадажадажа,спам
"Здравствуйте, супер классный фильм про телефон разрядился",спам
лол прикольно вышло ха-ха,спам
нормально хорошо прикольно норм,спам
Ну что там как дела у вас что нового у нас всё хорошо мы уже дома,спам
Ну что там как там дела как настроение у,спам
Прод. Днём пагод шнеки мель. Томи,спам
Топ топ топ топ топ топ топ топ топ  да,спам
Z V GOIDA Z V GOIDA Z V GOIDA,спам
АлфплПбые пф фпье ефбеыбароемнату цсвкауваааапрр,спам
Лиман. Сол сдьмсдж чедьмчащз.,спам
Ну что там как там у вас дела?,спам
Про мпррооооролл.  Тиритом мммппппмм ми иииор,спам
рвоат оаовтто вовттчт33уу3к,спам
рмпррипросто я в емецке и не,спам
Уолулв улу ушу ышв вда вща аш вд кшы ыы,спам
gdhgcffhhy hdhbcfuhh fdhjbyfgjggg vdhhgffhvfyg gdhcbjffuhhhcdd juffghfdyh,спам
"аллаьаьаьал просто бомба, я в Париже",спам
Ваалвшомтвшуоала состтутвллв плвлшсшптае,спам
pfhhd dodod dhjee ejjeje dhjsej,спам
The The Big Lie was the most important story in this series and it was the a good one too but I,спам
Ата к так ктата а атата а атата а аьабкбубаьаталлк,спам
Да дада да да топ  да да ага,спам
мгомлмлмлмлмн и в общем если что то будет,спам
мпаншаоовгов и в этом случае я не могу,спам
они не знают как они живут в Москве,спам
опрдромсиомитимииро.  спасибо,спам
Орильььььътимдмммьь мммм  ьбббб,спам
Пишу отзыв чтобы получить баллы,спам
"сод,тдщи тд щомоззаказтопчик аоаоаопл",спам
специально не 🚱 отвечаешь 😡😡 мне кажется это все что мне надо 😂,спам
Тстаьсьяьоао лалалоаоаоал лалалоаоаоал лалалоаоаоал во лалалоаоаоал,спам
Ьащашатв Агату Звиад шалаша шатаема шатаюсь,спам
"я бы хотел, путешествовать много
с природой сливаясь, лежать на песке 
или придти уже все таки к богу 
не стесняясь дырки в носке 
 вечерами смотреть, 
на тоскливое солнце",спам
Я л7дьгл6лнл5ло5о ооплалаьла,спам
нгрманлианолдшнпсит олоа рора  тш,спам
Нормик бомба пик пуджа на миду (тут оставила первые 2 слова),спам
пролдьтмсавы еуаси ыырлгее аа иппо ддпе ччрнеки ыуер юоре яспуу трпн явак яакку реаен ььггг апн неууи длошд а не мсвак ччраа мсвпн торрго мсарн чсаак льое Маре сапре ааег пер торош мспрн юоощ,спам
ракета бомба петарда пушка пушка чики бомбони чиназез (тут тоже оставила),спам
ужас жужужиужу дажазаза вззаазза азах,спам
Mishandle jsjsjsjjd djdjdhdujs dhsjshdh,спам
амвпукепваыпаувпукепук пкер кркеур уцр,спам
"Корабли лавировали, лавировали да не выловировали, ведь не веровали в вероятность вылавировать. Вот маловеры: веровали бы — вылавировали бы.",спам
Нан с уважением Сергей отправлено с устройства и безопасной работы в сфере туризма как победить в этом году мы 86,спам
заказ очень понравился ррртттт,не спам
"Просто г****! Есть невозможно было 
Карбонара 0/10. Один лук размеров с палец толщиной. Роллы 2/10. Шаурма отстой.",не спам
всё супер всо отлично алалалалалалал,не спам
"заказ приехал вовремя, все аьаллпмлалвьуткопшмшм",не спам
"КАРТОШКА ПРОСТО АХУ*+₽+_ТЕЛЬНАЯ , БУДУ ЗАКАЗЫВАТЬ ЕЩЁ НАДЕЮСЬ БУДЕТ ТАКАЯ ЖЕ😍",не спам
"Очень вкусный том ям, когда заказала парню, начала замечать странные вещи, он все чаще и чаще начал его заказывать, у него развилась зависимость, похуже героиновой, он до сих пор сидит на нем, не ест ничего больше, даже воду обычную перестал пить",не спам
"разочарован!!! не знаю кто виноват, то-ли долгая доставка или повара с администратором принимающим и исполняющими заказ но... сегодня не еда а ДРЯНЬ!!! Картофель фри остыл и превратился в безвкусную массу. пекинка в салате отмякла цыпленок темпура отсырел и т.д. Вы что разучились работать?! если вам не хватает рабочих рук так есть понятие стоп-лист нет возможности не берите заказы или работайте как положено! вам за это деньги платят?! плохо.",не спам
"Заказываем очень часто так как на кухне ремонт и не начем готовить ! Очень обидно 
Во первых диспетчер хамло
Специально уточнили два часа ждать или в течении двух! Сказала в течении двух 
В ИТОГЕ привезли через 2ч9мин
Холодная картошка фри, слиплась сухая абсолютно без соуса соба!
К солянке не было сметаны и приборов положили  на 1 человека учитывая ,что просили на двоих! Позор",не спам
"Роллы за баллы выглядят куда хуже картинки. В остальном сет вышел сносный, не хорошо и не плохо. За такие деньги, считаю, можно постараться и лучше. Ещё не обратил внимания, что ИП азиат, к сожалению выяснил уже после лицезрения азиата-доставщика. Советую внимательнее относиться к подобным, дабы ненароком не словить отравления",не спам
"Сэндвич роллы и темпура роллы отвратительное говно!!!! Супер жирные и невкусные, рыбы нет, один рис и жир!!",не спам
Вкусно как и всегда 12123123,не спам
Вкусное блюдо на каждый обед или с большим,не спам
Вкусное блюдо на каждый обед или с большим перерывом называется блюдо или просто,не спам
Вкусное блюдо на каждый обед или с большим перерывом называется блюдо или просто блюдо по мотивам его блюда или же из привычного вкуса или аромата и вкуса и вкуса и вкуса и почему он стоит на кухне или на кухне и что это вкусное и простое блюдо из привычных ингредиентов в конце года или в качестве горячего пищи,не спам
"Плотное дерьмище. Соуса нет, васаби нет. Ёбитесь как хотите. Уроды!",не спам
"Картошка фри сырая, наггетсы недожаренные, роллы запеченные холодные, Калифорния кислая😡🤬зато деньги не стесняются брать за такое г... Первый заказ. и такое🤬😡",не спам
"Роллы полное г.... но!!! Мало того что они не вкусные, так еще и развалились и стали как рисовая каша. Полнейшее дерьмо!!!",не спам
"вся еда полное гавно, такое кушать невозможно, я хочу чтобы на ваших поваров упал дрон и разорвал на части их кишки",не спам
"все отлично, кроме того что у меня сп*или 2 ролла",не спам
"Очень вкусно, соаэажвьвжвбыыьыдыььсадвьаьалалаа",не спам
Спасибо большое я тебя люблю и не понял че,не спам
Долго доставляют ьчбабвбвбвб,не спам
"Все очень вкусно, но мы с мужем отравились, с горшка не слазим 🥲",не спам
"Роллы вкусные, а вот гоабожоу полное дерьмо. За 700 р это просто отстой!",не спам
в этот раз было ахуенно спасибо,не спам
мьаалпаидиажаавкусно вкусно вкусно,не спам
ОЧЕНЬ КЛАССНООООРРРОООООлабаба,не спам
пиццу спайси без лука парв вапыфыф пвфыываап,не спам
"получили только что заказ.
ПОЧЕМУ В ""ТОМ ЯМЕ С МОРЕПРОДУКТАМИ"" ВСЕГО 1 КРЕВЕТКА ПЛАВАЕТ???? МЫ ЗА ЧТО СЕЙЧАС ЗАПЛАТИЛИ ВООБЩЕ???!!!
Приборы тоже  не привезли хотя их тоже указывали в заказе, ни палочек для роллов, ни ложек для том яма и рамёна. ЭТО ПОЛНЫЙ УЖАС",не спам
"Убедительная просьба , если вы разрезаете пиццу - делайте это адекватно , а не на «отъе&amp;сь» ! Разрезана не пойми как , еще и не до конца . Начинаешь сам резать- разваливается по старым кривым вашим разрезам. Центр разреза каким-то образом вообще вверху пиццы, а не по середине. Кусков не 8 , а по 5 или 7 ! Очень портится эстетика вашей подачи .",не спам
аа аа вала в алатау в лата все круто,не спам
Вкусно полезно прикольно ахуенно,не спам
"Хорошие мастера суш готовили эту прелесть,спасибо хехехехехехе",не спам
"Могло бы быть и лучше. Дорогие роллы так себе, не вкусные и один рис. Почему ролл за баллы оказался самым вкусным? а за 600 рублей - дерьмо. Это странно",не спам
"Просто деньги на ветер, заказали сет, думали насладимся, ага хрен там, состав сета везде во всех роллах икра!!! Вы хотя бы смотрите состав!!!!",не спам
"все бы ничего, но на утро после этой пиццы я блевала😊",не спам
"все вкусно , быстро 
4рм3ги3гт4
4ни4ни",не спам
"Все соусы пыли разлиты по пакету,в пицце был волос",не спам
"Заказал пиццу и роллы,очень вкусно..Доставили быстро,ожидал вовсе,что будет долго..Курьер был вежлив,немного забавный..Доволен заказом,изьянов не увидел &lt;3",не спам
Неплохо щвовщлмолылопршырдврлмдвилмилв,не спам
отравились с мужем после вашей еды,не спам
оцьцыьты в ыспасибо большое овлвьвтв,не спам
очень вкусно и быстро... %%%%%,не спам
"очень долго, оператор в течении час расеазывал что курьер в пути, и это пос окончания сроков доставки, ждать будете долго",не спам
понравилось понравилось двадцать пять символов слишком много,не спам
роллы с травой больше не готовьте это убожество ебаное,не спам
Самая лучшая пицца от меня к вам поступила кешбек,не спам
спасибо большое за поздравления и вас с новым счастьем и вашей семью всех земных благ и всего хорошего и здоровья и всех земных сил вам всем здоровья счастья благополучия вам всем е не уукг,не спам
Супер пупер фендербобс траливали,не спам
"Это были вкуснейшие суши за последний год, которые мы ели! &lt;3",не спам
"Говно такое привезли, ужас",не спам
"Дерьмо, шапка роллов воняет, роллы разваливаются",не спам
"видать поворот не проснулся, такого г... ещё  не заказывали",не спам
"вкуса никакого,холодные,написано ,что запеченные,в итоге 1сет запечённый,по размеру роллы разные,один меньше,больше другого.Ужасныйе Сеты.Обычно с большим аппетитом съедаем,тут же ни осилили даже попробовать все.пусть даже и цена не велика за этот сет,но цена этому сету максимум 500р,бюджетный для студента,может быть и пойдет,но даже для студента он покажется бедным и не вкусным.На фото смотрится отлично,вкусно.в реале же все плачевно ни так.Не берите народ,просто Г...",не спам
"Спасибо за заказ!
Очень вкусно покушали и следующие 10 часов провели, бегая каждые 15 минут в туалет, чтобы проблеваться вашими роллами 🤞🙈💪😜",не спам
"Вы либо повара поменяли либо практикант какой-то готовил!пицца сырная раньше вкусная была,сейчас так она никакая,нет той сочности от соуса в ней,да и сыр такое ощущение что старый заветренный положили!пицца приготовленная на отвали,греческий салат тоже никакой,заправки не было,тупо нарезанные овощи,а оливки зачем то накидали мелко нарезанные,как будто взяли из заготовок на пиццу,картофель по деревенски-от него только название,нет хрустящей корочки вообще!борщ как будто сварили на овощном бульоне,а мясо просто закинули в конце!я тупо потратил деньги,потому что пришлось это все выкинуть!вообще ничего вкусного не было!это не повар готовил-а какой-то бракодел!!!!",не спам
"К кухне претензий нет, к доставщику тоже, но админ крайне неумная баба, абсолютно не умеющая решать конфликтные ситуации. На претензию в том, что нет приборов, ответила «ничем помочь не можем», не предложила ни одного варианта решения проблемы, бросала трубки. Руководству стоит задуматься о подборе более компетентного персонала",не спам
Делали заказ как будто пьяные😿,не спам
"полусырые креветки в панировке 
сырные шарики с крабом тоже самое, и задолбали клянчить переводом оплату, им изначально сказали что оплата картой",не спам
